                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.96243,                0.74808,                 1.2112,                 1.1964,                0.90286,                 1.2201,                 0.7557,                0.56755,                0.66431,                0.46912,                 1.2819,                 1.1514,                 1.5092,                 1.4304,                 1.3215,                 1.4766,              0.0005075,              0.0005075,              0.0005075
                     57,                0.94805,                0.72936,                 1.2171,                 1.1736,                0.90353,                 1.2312,                0.80613,                0.52137,                0.64403,                0.45256,                 1.2997,                 1.1964,                 1.5279,                 1.4417,                 1.4595,                 1.4988,             0.00049375,             0.00049375,             0.00049375
                     58,                0.90752,                0.69744,                 1.2144,                 1.1076,                0.83774,                 1.2317,                0.75038,                0.55307,                0.64557,                0.46093,                 1.2538,                 1.1371,                 1.4861,                 1.3995,                 1.3015,                 1.4756,                0.00048,                0.00048,                0.00048
                     59,                0.92833,                0.73515,                 1.2379,                 1.1197,                0.88181,                 1.2572,                0.70443,                0.59309,                0.66282,                0.46621,                 1.2701,                  1.068,                 1.5119,                 1.4365,                 1.2256,                 1.4872,             0.00046625,             0.00046625,             0.00046625
                     60,                0.89843,                0.70359,                 1.2013,                  1.102,                0.83943,                 1.2174,                0.79657,                0.56078,                0.66138,                0.47857,                 1.2598,                 1.1283,                 1.4998,                 1.4166,                 1.2588,                 1.4588,              0.0004525,              0.0004525,              0.0004525
                     61,                0.94256,                 0.7382,                 1.2042,                 1.1651,                0.92235,                 1.2269,                0.72288,                0.58682,                0.66379,                0.47446,                 1.2707,                  1.119,                 1.5048,                 1.4159,                 1.2645,                 1.4708,             0.00043875,             0.00043875,             0.00043875
                     62,                0.89511,                 0.6928,                 1.1814,                 1.1185,                0.86035,                 1.1954,                0.74202,                0.56215,                0.65436,                0.45481,                 1.2945,                  1.136,                  1.531,                 1.4199,                 1.2968,                 1.4846,               0.000425,               0.000425,               0.000425
                     63,                0.91882,                0.70867,                 1.2042,                 1.1238,                0.84531,                 1.2121,                0.67699,                0.60782,                0.66303,                0.46475,                 1.2702,                  1.179,                 1.5073,                 1.4153,                 1.3311,                 1.4781,             0.00041125,             0.00041125,             0.00041125
                     64,                 0.8787,                0.87573,                 1.1622,                 1.1039,                0.86064,                  1.171,                0.67388,                 0.6403,                0.66438,                0.46796,                 1.2779,                  1.154,                 1.5229,                 1.4226,                 1.3299,                 1.4921,              0.0003975,              0.0003975,              0.0003975
                     65,                0.89495,                0.71599,                 1.1941,                 1.1085,                0.84908,                 1.2096,                0.70755,                0.61825,                0.66723,                0.48712,                 1.2607,                 1.1328,                 1.5164,                 1.4157,                 1.3033,                 1.4794,             0.00038375,             0.00038375,             0.00038375
                     66,                0.88315,                0.67676,                 1.1891,                 1.1139,                0.81693,                 1.2089,                0.70686,                0.61066,                 0.6633,                0.47058,                 1.2873,                 1.1594,                 1.5528,                 1.4203,                 1.3675,                  1.521,                0.00037,                0.00037,                0.00037
                     67,                 0.9137,                0.69616,                 1.2016,                 1.1323,                0.86086,                 1.2191,                0.74745,                0.57521,                0.65752,                 0.4691,                 1.2729,                 1.2045,                 1.5357,                 1.4298,                 1.3935,                 1.5077,             0.00035625,             0.00035625,             0.00035625
                     68,                0.87851,                0.67485,                 1.1771,                 1.0851,                0.81223,                 1.2017,                0.78818,                0.58263,                0.66385,                0.46203,                 1.2631,                 1.1008,                 1.5023,                 1.4365,                 1.2156,                 1.4902,              0.0003425,              0.0003425,              0.0003425
                     69,                0.88109,                0.67548,                 1.1856,                 1.0905,                0.84141,                 1.2048,                0.74416,                0.58119,                0.65704,                0.46551,                 1.2821,                 1.2272,                 1.5179,                 1.4057,                 1.3743,                 1.4818,             0.00032875,             0.00032875,             0.00032875
                     70,                0.85501,                0.71538,                 1.1818,                 1.0764,                0.85673,                 1.1841,                0.74796,                0.57072,                0.65435,                0.46583,                 1.2845,                 1.1458,                 1.5243,                 1.4497,                 1.3078,                 1.4874,               0.000315,               0.000315,               0.000315
                     71,                0.83299,                0.63956,                 1.1575,                 1.0416,                0.78922,                  1.172,                0.73119,                0.59429,                0.66502,                0.46949,                 1.2754,                  1.151,                 1.5209,                  1.431,                 1.2922,                 1.4747,             0.00030125,             0.00030125,             0.00030125
                     72,                0.82764,                0.61852,                 1.1481,                  1.025,                0.75874,                 1.1658,                0.67608,                0.62738,                0.65973,                0.45931,                 1.2705,                 1.1052,                 1.5398,                 1.4152,                 1.2809,                 1.4969,              0.0002875,              0.0002875,              0.0002875
                     73,                0.78522,                0.59056,                 1.1427,                0.98599,                0.71761,                 1.1552,                0.69093,                0.60346,                 0.6584,                0.47614,                 1.2628,                 1.2057,                 1.5153,                 1.4117,                 1.3566,                 1.4786,             0.00027375,             0.00027375,             0.00027375
                     74,                  0.844,                 0.6344,                 1.1612,                 1.0769,                0.79963,                 1.1705,                0.71388,                0.62043,                 0.6682,                 0.4784,                 1.2764,                 1.0986,                 1.5198,                  1.445,                 1.2424,                 1.4951,                0.00026,                0.00026,                0.00026
                     75,                0.79503,                0.61679,                 1.1403,                 1.0094,                0.74399,                 1.1507,                0.71066,                0.59704,                0.64867,                0.46616,                 1.2693,                 1.1429,                 1.5209,                 1.4124,                 1.3221,                 1.4849,             0.00024625,             0.00024625,             0.00024625
                     76,                0.79477,                 0.7227,                 1.1172,                 1.0069,                0.74412,                 1.1259,                  0.828,                0.52702,                0.65613,                0.46412,                 1.2848,                  1.169,                 1.5428,                 1.4497,                 1.3111,                 1.5095,              0.0002325,              0.0002325,              0.0002325
                     77,                0.80343,                0.60131,                 1.1424,                 1.0268,                0.72983,                 1.1592,                 0.7603,                0.57624,                0.65076,                0.45401,                    1.3,                 1.1348,                 1.5782,                  1.451,                 1.3153,                 1.5126,             0.00021875,             0.00021875,             0.00021875
                     78,                0.78036,                0.60104,                 1.1098,                0.99258,                0.71835,                 1.1296,                0.77393,                0.55777,                 0.6616,                0.47253,                 1.2727,                 1.2136,                 1.5465,                 1.4166,                 1.4157,                 1.4998,               0.000205,               0.000205,               0.000205
                     79,                 0.7619,                0.57089,                 1.1189,                0.95881,                0.68703,                 1.1304,                0.73474,                0.59827,                0.66773,                 0.4712,                 1.2925,                 1.1387,                 1.5487,                 1.4452,                 1.3003,                 1.5084,             0.00019125,             0.00019125,             0.00019125
                     80,                0.76611,                0.59343,                 1.1303,                0.98024,                0.72599,                 1.1504,                0.69753,                0.62377,                0.66679,                0.46764,                 1.2874,                 1.1599,                 1.5454,                 1.4343,                 1.2885,                 1.5127,              0.0001775,              0.0001775,              0.0001775
                     81,                 0.8162,                0.64155,                   1.15,                0.99396,                0.67859,                  1.124,                0.79439,                 0.5615,                  0.658,                0.45903,                 1.2889,                 1.1003,                 1.5765,                 1.4305,                 1.2974,                 1.5201,             0.00016375,             0.00016375,             0.00016375
                     82,                0.78152,                0.52796,                 1.0872,                0.98888,                0.63177,                 1.0944,                0.81368,                0.54446,                0.66254,                0.47693,                 1.2586,                 1.1144,                  1.529,                 1.4184,                 1.3303,                 1.4928,                0.00015,                0.00015,                0.00015
                     83,                0.73946,                  0.508,                 1.0793,                0.94485,                0.58619,                 1.0992,                0.67383,                0.64107,                0.66327,                0.48153,                  1.266,                 1.1962,                 1.5295,                 1.4062,                 1.4199,                 1.4905,             0.00013625,             0.00013625,             0.00013625
                     84,                0.70792,                0.50729,                 1.0526,                0.91883,                0.60367,                   1.07,                0.69543,                0.60395,                0.65783,                0.46768,                 1.2767,                 1.1644,                 1.5489,                 1.4159,                 1.3863,                 1.5028,              0.0001225,              0.0001225,              0.0001225
                     85,                 0.6962,                0.46411,                 1.0498,                0.89911,                0.54576,                 1.0566,                0.72098,                0.60273,                0.66695,                0.47828,                 1.2676,                 1.1465,                 1.5363,                 1.4181,                 1.3413,                 1.4878,             0.00010875,             0.00010875,             0.00010875
                     86,                0.69724,                0.51544,                 1.0534,                0.90032,                0.59357,                 1.0634,                  0.668,                 0.6194,                0.65697,                0.47125,                 1.2573,                 1.1477,                 1.5476,                 1.4213,                 1.3312,                  1.511,                9.5e-05,                9.5e-05,                9.5e-05
                     87,                0.70377,                 0.4932,                 1.0391,                0.90298,                0.57957,                 1.0486,                0.69151,                0.61329,                0.65961,                0.47591,                  1.262,                  1.153,                 1.5413,                 1.4155,                 1.3474,                 1.4911,              8.125e-05,              8.125e-05,              8.125e-05
                     88,                0.69414,                0.49664,                  1.047,                0.89365,                0.58484,                 1.0655,                0.69584,                0.61702,                0.65911,                0.47179,                 1.2724,                 1.1574,                 1.5568,                 1.4246,                 1.3281,                 1.5054,               6.75e-05,               6.75e-05,               6.75e-05
                     89,                 0.6658,                0.44299,                 1.0425,                0.85533,                0.51803,                  1.053,                0.70705,                0.62074,                0.66357,                0.47723,                 1.2605,                 1.1596,                 1.5436,                 1.4174,                  1.339,                 1.4887,              5.375e-05,              5.375e-05,              5.375e-05
                     90,                0.65313,                0.49663,                 1.0337,                0.83424,                0.60895,                 1.0427,                0.71296,                0.61711,                0.66591,                 0.4774,                 1.2555,                 1.1433,                  1.538,                 1.4117,                 1.3264,                 1.4915,                  4e-05,                  4e-05,                  4e-05
